                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 2.0159,                 2.0381,                 1.9044,                 2.3685,                0.66191,                0.52518,                0.55029,                0.29668,                0.27068,                0.12728,                0.07087,                0.01599,                 1.6755,                 1.5791,                 1.6597,                 2.3119,             0.00026563,             0.00026563,             0.00026563
                     53,                 2.0155,                 2.0313,                 2.0031,                 2.3798,                0.64403,                0.55858,                0.54632,                0.28723,                0.25773,                0.11573,                0.07834,                0.01811,                 1.7107,                 1.6112,                 1.6443,                 2.3182,             0.00026042,             0.00026042,             0.00026042
                     54,                 1.9884,                 1.9908,                 1.9014,                 2.3576,                0.62103,                0.54765,                0.53314,                0.28498,                0.22532,                0.10388,                0.06292,                0.01108,                 1.6616,                 1.6135,                 1.6224,                 2.2798,             0.00025522,             0.00025522,             0.00025522
                     55,                 1.9181,                 1.9763,                  1.858,                  2.309,                 0.6178,                0.51248,                0.55427,                0.28837,                0.28213,                0.10194,                0.08648,                0.02064,                 1.7392,                 1.5541,                 1.6118,                 2.2854,             0.00025001,             0.00025001,             0.00025001
                     56,                  1.926,                 1.9607,                 1.8817,                 2.3046,                0.64906,                0.51946,                0.54928,                0.28935,                0.25994,                0.11173,                0.07872,                0.01681,                 1.7074,                 1.5606,                 1.6039,                 2.2776,              0.0002448,              0.0002448,              0.0002448
                     57,                 1.9011,                 1.9792,                  1.812,                 2.2654,                0.63073,                0.47146,                0.50517,                 0.2604,                0.25978,                0.13721,                0.06663,                0.01484,                 1.7446,                 1.5403,                 1.6366,                 2.3256,             0.00023959,             0.00023959,             0.00023959
                     58,                 1.9197,                  1.947,                 1.8155,                 2.2896,                 0.7095,                0.48186,                0.52728,                0.27797,                0.44558,                0.12233,                0.08241,                0.01793,                 1.6962,                 1.5459,                 1.6329,                 2.3113,             0.00023439,             0.00023439,             0.00023439
                     59,                 1.8774,                 1.9424,                  1.811,                 2.2833,                0.64696,                0.56443,                0.55086,                 0.2947,                0.43696,                0.13347,                0.08991,                0.01785,                 1.6648,                 1.5968,                 1.6148,                 2.2559,             0.00022918,             0.00022918,             0.00022918
                     60,                 1.8735,                 1.9951,                 1.7854,                 2.2574,                0.68982,                0.52488,                0.58302,                0.31095,                0.24575,                0.10477,                0.07448,                0.01353,                 1.6192,                 1.5659,                 1.5474,                 2.2096,             0.00022397,             0.00022397,             0.00022397
                     61,                 1.8727,                   1.96,                 1.7667,                 2.2334,                0.77707,                0.44544,                0.54276,                0.27706,                0.41745,                0.13414,                 0.0852,                0.01987,                 1.7309,                 1.5339,                 1.5935,                 2.2746,             0.00021876,             0.00021876,             0.00021876
                     62,                 1.8667,                 1.9264,                 1.7562,                  2.215,                0.66416,                0.54562,                0.57316,                0.30832,                0.24694,                0.11634,                0.06275,                0.01768,                 1.6048,                 1.5169,                 1.5203,                 2.1754,             0.00021356,             0.00021356,             0.00021356
                     63,                  1.845,                  1.871,                 1.7452,                 2.1881,                0.60169,                0.56412,                0.57188,                0.31762,                0.33547,                0.13202,                0.11298,                0.02695,                  1.549,                 1.4937,                 1.5126,                 2.1395,             0.00020835,             0.00020835,             0.00020835
                     64,                 1.8506,                 1.9251,                 1.7406,                 2.2031,                0.67618,                0.58737,                 0.5964,                0.32724,                0.34025,                0.13432,                0.11688,                0.02747,                 1.5627,                 1.4862,                 1.4707,                 2.1583,             0.00020314,             0.00020314,             0.00020314
                     65,                 1.7765,                 1.8646,                 1.6997,                 2.1756,                0.66519,                0.56929,                0.58113,                0.30913,                0.26931,                0.15016,                0.09628,                0.02264,                 1.6077,                 1.4817,                 1.4846,                 2.1743,             0.00019793,             0.00019793,             0.00019793
                     66,                  1.822,                 1.9297,                 1.7022,                 2.2019,                0.65368,                0.57111,                0.58442,                0.32044,                0.29621,                0.15182,                0.10551,                0.02548,                 1.5781,                  1.472,                 1.5069,                 2.1316,             0.00019273,             0.00019273,             0.00019273
                     67,                 1.7979,                  1.911,                 1.6961,                 2.1868,                0.69942,                0.54722,                0.59406,                  0.322,                0.27697,                 0.1333,                0.09028,                0.02541,                 1.5722,                  1.459,                 1.4774,                 2.1298,             0.00018752,             0.00018752,             0.00018752
